,Title,Instructor,Description,Rating,User_vote,Total_hours,Lecture,Level
42,WordPress Developer Unlocking Power Code,Brad Schiff,Learn PHP  JavaScript  WordPress theming and the WP REST API to Create Custom and Interactive WordPress Websites,4.7,13545,26.5,125,All Levels
43,Bootstrap 4 Scratch 5 Projects,Brad Traversy,Master Bootstrap 4 and build 5 real world themes while learning HTML5 semantics and CSS3,4.7,13507,11.5,74,All Levels
44,Spring Framework 5 Beginner Guru,John Thompson,Spring Framework 5  Learn Spring Framework 5  Spring Boot 2  Spring MVC  Spring Data JPA  Spring Data MongoDB  Hibernate,4.4,13482,57.0,524,All Levels
45,Ionic Build iOS Android Web Apps Ionic Angular,Maximilian Schwarzm ller,Build Native iOS and Android as well as Progressive Web Apps with Angular  Capacitor and the Ionic Framework  Ionic 4Plus  ,4.7,13412,20.5,285,All Levels
46,Complete WordPress Website Business Course,Rob Percival  Gregg Davis  Codestars by Rob Percival,Master WordPress with this Complete WordPress Course  without learning how to code and without any programming ,4.4,13256,22.0,115,All Levels
47,Python Beginners Learn Python Programming Python 3,Jason Cannon,Learn Python Programming the Easy Way  Complete with Examples  Quizzes  Exercises and more  Learn Python 2 and Python 3 ,4.5,13110,3.0,78,All Levels
48,Complete Python Course Learn Python,Codestars by Rob Percival  Jose Salvatierra  Rob Percival  Teclado by Jose Salvatierra,Go from Beginner to Expert in Python by building projects  The best investment for your Python journey ,4.6,12759,35.5,343,All Levels
49,Node React Fullstack Web Development,Stephen Grider,Build and deploy fullstack web apps with NodeJS  React  Redux  Express  and MongoDB ,4.7,12676,26.0,211,All Levels
50,Apache Spark Scala Hands Big Data,Sundog Education by Frank Kane  Frank Kane,Apache Spark tutorial with 20Plus  hands on examples of analyzing large data sets  on your desktop or on Hadoop with Scala ,4.5,12655,9.0,67,All Levels
51,Data Science Machine Learning Bootcamp R,Jose Portilla,Learn how to use the R programming language for data science and machine learning and data visualization ,4.6,12600,18.0,128,All Levels
52,JavaScript Algorithms Data Structures Masterclass,Colt Steele,The Missing Computer Science and Coding Interview Bootcamp,4.7,12532,22.0,249,All Levels
53,Master Coding Interview Data Structures Plus Algorithms,Andrei Neagoie,Ultimate coding interview bootcamp  Get more job offers  negotiate a raise  Everything you need to get the job you want ,4.7,12528,19.5,258,All Levels
54,Learn Python Ethical Hacking Scratch,Zaid Sabih  z Security,Start from 0 and learn both topics simultaneously from scratch by writing 20Plus hacking programs,4.6,12431,24.5,180,All Levels
55,JavaScript Complete Guide 2021 Beginner Plus Advanced,Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,Modern JavaScript from the beginning   all the way up to JS expert level  THE must have JavaScript resource in 2021 ,4.6,12459,52.5,615,All Levels
56,REST APIs Flask Python,Jose Salvatierra  Teclado by Jose Salvatierra,Build professional REST APIs with Python  Flask  Flask RESTful  and Flask SQLAlchemy,4.6,12269,17.0,155,Intermediate
57,Complete React Developer 2021 w Redux Hooks GraphQL,Andrei Neagoie  Yihua Zhang,Become a Senior React Developer  Build a massive E commerce app with Redux  Hooks  GraphQL  ContextAPI  Stripe  Firebase,4.6,12242,40.5,360,All Levels
58,Data Analysis Pandas Python,Boris Paskhaver,Analyze data quickly and easily with Python s powerful pandas library  All datasets included     beginners welcome ,4.7,12168,20.5,169,All Levels
59,MERN Stack Stack React Redux Node js,Brad Traversy,Build and deploy a social network with Node js  Express  React  Redux and MongoDB  Fully updated April 2019,4.7,12109,12.0,73,Intermediate
60,Complete Guide Elasticsearch,Bo Andersen,Learn Elasticsearch from scratch and begin learning the ELK stack  Elasticsearch  Logstash and Kibana  and Elastic Stack ,4.5,12055,12.0,143,All Levels
61,Alteryx Bootcamp,Hendrik Kleine,From couch to Alteryx developer in less than four hours ,4.5,11948,4.0,74,Beginner
62,Ethereum Solidity Complete Developer Guide,Stephen Grider,Use Ethereum  Solidity  and Smart Contracts to build production ready apps based on the blockchain,4.6,11723,24.0,250,All Levels
63,Ultimate Web Designer Developer Course Build 23 Projects,Brad Hussey  Code College,Become a Full Stack Developer   Learn Everything from Design to Front and Back End Programming ,4.4,11694,32.5,246,All Levels
64,Complete Ruby Rails Developer Course,Rob Percival  Mashrur Hossain  Codestars by Rob Percival,Learn to make innovative web apps with Ruby on Rails and unleash your creativity,4.6,11617,48.0,432,All Levels
65,Java Depth Complete Java Engineer,Dheeru Mundluru,Comprehensive Java programming course integrated with design principles  best practices and instructor led Java EE project,4.5,11480,67.5,363,All Levels
66,Coding Interview Bootcamp Algorithms Plus Data Structures,Stephen Grider,Ace your next Javascript coding interview by mastering data structures and algorithms ,4.7,11391,13.0,135,All Levels
67,Docker Crash Course busy DevOps Developers,Tao W   Level Up  James Lee,Learn how to develop and deploy web applications with Docker technologies  Take your DevOps skills to the next level ,4.4,11366,3.0,49,All Levels
68,1 Foundation Enterprise Architect Certification Trng,Scott Duffy    460 000  Students  Software Architect ca,Software architecture certification with TOGAF  9 Part 1 exam  to become TOGAF Foundation ,4.4,11306,10.5,170,All Levels
69,MongoDB Complete Developer Guide 2021,Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,Master MongoDB Development for Web and Mobile Apps  CRUD Operations  Indexes  Aggregation Framework   All about MongoDB ,4.7,11228,17.5,265,All Levels
70,WebServices Rest API Testing SoapUI PlusReal time Projects,Rahul Shetty, Most Popular Hash1 SoapUI Test automation Course    36000Plus students learning together with great collaboration ,4.5,10991,19.0,109,All Levels
71,Complete iOS 10 Swift 3 Developer Course,Rob Percival  Codestars by Rob Percival,Learn iOS App Development by building 21 iOS apps using Swift 3 and Xcode 8  Includes free web hosting  assets and ebook ,4.4,10787,30.0,222,All Levels
72,Complete End Web Development Course,Joseph Delgadillo  Nick Germaine,Get started as a front end web developer using HTML  CSS  JavaScript  jQuery  and Bootstrap ,4.3,10719,17.0,126,All Levels
73,Complete CHash Masterclass,Denis Panjuta  Tutorials eu by Denis Panjuta,Learn CHash Programming   WPF  Databases  Linq  Collections  Game Development with Unity  More than just the CHash basics ,4.6,10705,34.0,261,All Levels
74,Microsoft SQL Beginners,Brewster Knowlton,A comprehensive course to teach you how to complete SQL queries using Microsoft SQL Server and the T SQL language ,4.5,10655,4.0,39,Beginner
75,Modern JavaScript Bootcamp,Andrew Mead,Learn JavaScript by building real world apps  Includes 3 real world projects  80 programming challenges  and ES6 ES7 ,4.7,10466,29.5,155,All Levels
76,Complete Java Certification Course,Imtiaz Ahmad,Become a confident industry ready core Java developer and get certified as a Java professional ,4.5,10325,17.5,60,All Levels
77,Appium Mobile Automation Testing Scratch Plus Frameworks,Rahul Shetty,Appium  Top class 200 PlusLectures on Mobile Automation  from basics to Framework level with real time examples,4.5,10274,30.0,181,All Levels
78,Programming Python HandsOn Introduction Beginners,Febin George,Eliminate roadblocks to learn programming  Start writing your own programs in Python 3 from scratch,4.4,10263,3.5,35,Beginner
79,Taming Big Data Apache Spark Python Hands,Sundog Education by Frank Kane  Frank Kane,Apache Spark tutorial with 20Plus  hands on examples of analyzing large data sets on your desktop or on Hadoop with Python ,4.5,9821,7.0,63,All Levels
80,Unreal Engine 4 Develop Games,Christopher Murphy  Epic Games,Epic Games Approved  learn the Unreal Editor  master the gameplay framework  and use Blueprint to program without coding,4.4,9822,15.5,85,Beginner
81,Kubernetes Certified Application Developer CKAD Tests,Mumshad Mannambeth  KodeKloud Training  Vijin Palazhi,Learn concepts and practice for the Kubernetes Certification with hands on labs right in your browser   DevOps   CKAD,4.7,9744,10.0,134,All Levels
82,DevOps CI CDContinuous Integration Delivery Beginners,John Honai,Learn about CI CD and DevOps and the concepts of Continuous Integration  Continuous Delivery   Deployment  DevOps and pipeline,4.5,9734,1.0,12,Beginner
83,Advanced React Redux,Stephen Grider,Walkthroughs on advanced React v16 6 3 and Redux v4 0 0   Authentication  Testing  Middlewares  HOC s  and Deployment,4.6,9629,21.0,239,Intermediate
84,AWS Serverless APIs Apps Complete Introduction,Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,Get into serverless computing with API Gateway  AWS Lambda and other Amazon Web Services  Zero server config APIs and SPAs,4.7,9495,8.0,142,All Levels
85,PHP Laravel beginners Master Laravel,Edwin Diaz  Coding Faculty Solutions,Learn to master Laravel to make advanced applications like the real CMS app we build on this course,4.4,9366,43.0,407,All Levels
86,Beginner Stack Web Development HTML CSS React Node,Mark Wahlbeck  Devslopes by Mark Wahlbeck,Learn web development with HTML  CSS  Bootstrap 4  ES6 React and Node,4.5,9348,31.5,168,Beginner
87,Node js Complete Guide Build RESTful APIs 2018,Mosh Hamedani,Learn to build fast  scalable and secure RESTful services with Node  Express and MongoDB  from setup to production,4.7,9360,15.0,224,Intermediate
88,ES6 Javascript Complete Developer Guide,Stephen Grider,ES6 Javascript Development from scratch   Get practice with live examples and learn exactly where to apply ES6 features ,4.6,9229,6.0,68,Beginner
89,Data Science Natural Language Processing NLP Python,Lazy Programmer Inc ,Applications  decrypting ciphers  spam detection  sentiment analysis  article spinners  and latent semantic analysis ,4.5,9098,10.0,76,All Levels
90,Android Java Masterclass App Developer,Tim Buchalka  Jean Paul Roberts  Tim Buchalka s Learn Programming Academy,Improve your career options by learning Android app Development  Master Android Studio and build your first app today,4.3,8988,60.5,323,All Levels
91,Xamarin Forms Build Native Cross platform Apps CHash,Mosh Hamedani,Learn to build native mobile apps for Android  iOS and Windows using your existing CHash skills,4.3,8956,7.5,117,All Levels
92,Python Data Structures Algorithms Interviews,Jose Portilla,Get a kick start on your career and ace your coding interviews ,4.5,8951,17.0,228,Intermediate
93,Git Going Fast Hour Git Crash Course,Jason Taylor,Learn the key concepts and basic workflow for Git and GitHub with this easy to follow  top rated  bootcamp style course ,4.3,8937,1.5,32,Beginner
94,Python Beginners Examples,Ardit Sulce  PythonHow,A Python course for the busy ones to learn Python programming  Learn and practice Python by building two complete apps ,4.5,8859,4.5,83,Beginner
95,Entity Framework Depth Complete Guide,Mosh Hamedani,Connect your applications to a SQL Server database,4.6,8802,6.5,79,Intermediate
96,Practice Java Building Projects,Tim Short,Ultimate Java interview prep course  100  focused on applying object oriented design in real world applications,4.3,8756,3.5,39,All Levels
97,Introduction Machine Learning Data Science,David Valentine,A primer on Machine Learning for Data Science   Revealed for everyday people  by the Backyard Data Scientist ,4.3,8661,5.5,62,Beginner
98,Progressive Web Apps PWA Complete Guide,Academind by Maximilian Schwarzm ller  Maximilian Schwarzm ller,Build a Progressive Web App  PWA  that feels like an iOS and Android App  using Device Camera  Push Notifications and more,4.7,8632,16.0,208,All Levels
99,Learn DevOps Infrastructure Automation Terraform,Edward Viaene,Learn how to automate your infrastructure with terraform  Covers Terraform with AWS  Packer  Docker  ECS  EKS  Jenkins,4.3,8555,11.0,116,Beginner
100,Java Programming Complete Beginner Advanced,CodeIn Academy,Become a Computer Programmer by Learning Core Java Skills,4.1,8487,3.0,24,Beginner
101,Advanced Web Developer Bootcamp,Colt Steele  Elie Schoppik  Tim Garcia  Matt Lane,Learn React 16  Redux  D3  ES2015  Testing  CSS Flexbox  Animations  SVG  AJAX  and more ,4.4,8454,34.0,391,Intermediate
102,Selenium WebDriver Java Novice Ninja Plus Interview,Lets Kode It,Join the  Top Rated Hash1 Best Selenium Course  Basics To Advanced Level With POM  Grid  Maven  GitHub  Jenkins  Interviews,4.6,8347,43.5,289,All Levels
103,Agile Samurai Bootcamp,Jonathan Rasmusson,Everything you need to setup  execute  and successfully deliver your own Agile project ,4.4,8297,3.0,34,All Levels
104,CPlusPlus Beginner Expert,Arkadiusz W odarczyk,Designed for people who don t have any knowledge about the programming and want to program in CPlusPlus,4.5,8203,16.5,85,All Levels
105,SQL Beginners Learn SQL MySQL Database Design,Tim Buchalka s Learn Programming Academy  Jon Avis   SQL Instructor,Understand SQL using the MySQL database  Learn Database Design and Data Analysis with Normalization and Relationships,4.4,8191,8.0,122,Beginner
106,Artificial Intelligence Reinforcement Learning Python,Lazy Programmer Team  Lazy Programmer Inc ,Complete guide to Reinforcement Learning  with Stock Trading and Online Advertising Applications,4.6,8166,13.0,108,Intermediate
107,Learn CPlusPlus Programming Beginner Advance Deep Dive CPlusPlus,Abdul Bari,Classroom and Hands on sessions  Features of CPlusPlus 11   Exception Handling and STL    for Both Academics and Industry,4.6,8177,30.5,279,All Levels
108,Data Structures Algorithms Deep Dive Java,Tim Buchalka  Goran Lochert  Tim Buchalka s Learn Programming Academy,Learn about Arrays   Linked Lists  Trees   Hashtables  Stacks   Queues   Heaps  Sort algorithms and Search algorithms,4.4,8147,16.0,116,Intermediate
109,Understanding Jira users managers admins,Dan LeFebvre,Everything you need to know to get started with Atlassian s powerful agile project management and issue tracker tool ,4.4,8136,6.5,59,All Levels
110,RPG Core Combat Creator Learn Intermediate Unity CHash Coding,Ben Tristem  Rick Davidson  Sam Pattuzzi  GameDev tv Team,Build Combat for Role Playing Game  RPG  in Unity  Tutorials Cover Code Architecture and Video Game Design ,4.7,8080,27.5,189,Intermediate
111,JavaScript Basics Beginners,Mosh Hamedani,JavaScript   Master the Fundamentals in 6 Hours,4.5,7858,6.5,105,Beginner
112,Learn Code Python 3 Programming beginner advanced,Ivan Louren o Gomes,Python3 programming made easy with exercises  challenges and lots of real life examples  Learn to code today ,4.4,7848,5.5,45,Beginner
113,Statistics Business Analytics Data Science Z,Kirill Eremenko  SuperDataScience Team,Learn The Core Stats For A Data Science Career  Master Statistical Significance  Confidence Intervals And Much More ,4.5,7794,6.0,42,All Levels
114,Pre Programming need know code,Evan Kimbrell,Increase your chance of success learning to code and communicating with other developers,4.6,7657,6.5,87,Beginner
115,JSP Servlets JDBC Beginners Build Database App,Chad Darby,JSP  Covers latest versions of JSP 2 3 and Servlets 3 1   Most Popular JSP Servlet course,4.7,7625,9.0,117,All Levels
116,Learn Object Oriented PHP Building Complete Website,Eduonix Learning Solutions  Eduonix Tech  ,Quick and Easy Guide to Master OOPs in PHP,4.0,7558,4.5,33,All Levels
117,DevOps CI CD Jenkins pipelines Maven Gradle,TetraNoodle Team  Manuj Aggarwal,Build continuous integration  continuous delivery and DevOps pipelines with Java  Gradle  Maven  Artifactory and Sqitch ,4.2,7509,3.5,30,All Levels
118,GraphQL React Complete Developers Guide,Stephen Grider,Learn and master GraphQL by building real web apps with React and Node,4.5,7447,13.5,115,Intermediate
119,Microservices Software Architecture Patterns Techniques,Binary Brain,Learn how to design and implement microservice systems using the right architecture design patterns and techniques,4.3,7458,1.0,23,All Levels
120,Python OOP Pillars OOP Python 3 Beginners,Febin George,Python OOP Simplified  Learn Object Oriented Programming using Python in a way that you really understand,4.5,7289,2.5,25,Beginner
121,Learn JMETER Scratch Live Apps Performance Testing,Rahul Shetty,Top class Jmeter lectures explaining Load testing with real time examples including material and query support,4.4,7185,10.0,62,All Levels
122,JavaScript Advanced Concepts,Andrei Neagoie,Learn modern advanced JavaScript practices and be in the top 10  of JavaScript developers,4.8,7204,25.0,225,All Levels
123,Easy Advanced Data Structures,William Fiset,A complete guide to learning everything there is to know about data structures,4.4,7148,8.5,48,All Levels
124,Android Java Complete Android Development Bootcamp,Philipp Muellauer,Learn Android O app development from beginning to end  Learn to code in Java while building fun Android O projects ,4.4,7143,21.0,289,All Levels
125,30 Days Python Unlock Python Potential,Justin Mitchel,Python is simple enough for beginners  powerful enough for the pros  Use it for IOT  Web Scraping  Big Data   and more ,4.5,7135,9.5,45,All Levels
126,Data Science Deep Learning Python,Lazy Programmer Inc ,The MOST in depth look at neural network theory  and how to code one with pure Python and Tensorflow,4.6,7110,11.0,89,Intermediate
127,Master Java Web Services RESTful API Spring Boot,in28Minutes Official,Build Java Web Services and REST API   RESTful and SOAP   with Spring and Spring Boot  Learn REST API and SOAP Web Services Now ,4.4,7119,9.5,109,All Levels
128,Relational Database Design,Ben Brumm,Learn how to create an effective relational database design to use in your IT career or even a personal project ,4.3,6985,1.5,32,All Levels
129,NLP Natural Language Processing Python,Jose Portilla,Learn to use Machine Learning  Spacy  NLTK  SciKit Learn  Deep Learning  and more to conduct Natural Language Processing,4.6,6982,11.5,80,Intermediate
130,Complete Android Kotlin Developer Course,Hussein Alrubaye,Learn how to build 17 online games  and apps for Android Q  like Pok mon   twitter Tic Tac Toe  and notepad using Kotlin,4.3,6951,33.5,205,All Levels
131,Jenkins Zero Hero DevOps Jenkins Master,Ricardo Andre Gonzalez Gomez,Become a DevOps Master learning Jenkins and integrations with powerful tools like Docker  Ansible  AWS  GIT and more ,4.4,6714,10.5,165,All Levels
132,Design Patterns CHash NET,Dmitri Nesteruk,Discover the modern implementation of design patterns with CHash and  NET,4.5,6652,19.0,168,Intermediate
133,AWS CloudFormation Master Class,Stephane Maarek   AWS Certified Solutions Architect   Developer Associate,Write Complete AWS CloudFormation Templates using YAML  Learn all the Recent Cloud Formation Features,4.7,6640,3.5,70,All Levels
134,Scala Functional Programming Beginners Rock JVM,Daniel Cioc rlan,Become a Scala programmer and get the skills you need to work with Spark  Akka  and any Scala framework ,4.6,6619,15.5,50,Intermediate
135,R Programming Advanced Analytics R Data Science,Kirill Eremenko  SuperDataScience Team,Take Your R and R Studio Skills To The Next Level  Data Analytics  Data Science  Statistical Analysis in Business  GGPlot2,4.7,6605,6.0,53,Intermediate
136,Teach Kids Code Learn Python Programming Age,Bryson Payne,Short  colorful apps and games you and your child can program right away  for ages 5 to 95  PC  Mac and Linux ,4.5,6578,7.5,112,All Levels
137,GitHub Ultimate Master Git GitHub Beginner Expert,Jason Taylor,Go from complete novice to expert in Git and GitHub using step by step  no assumptions learning,4.4,6561,6.5,151,All Levels
138,Build Websites Scratch HTML CSS,Brad Hussey  Code College,Learn Web Development Essentials and Become a Web Developer From Scratch in this Complete HTML and CSS Beginner s Course,4.6,6437,8.0,77,Beginner
139,Git Web Developer Job Mastering Modern Workflow,Brad Schiff,Learn Git  GitHub  Node js  NPM  Object oriented JavaScript  ES6  webpack  Netlify  BEM and Job Interview Tips,4.7,6406,15.0,71,Beginner
140,Natural Language Processing Deep Learning Python,Lazy Programmer Team  Lazy Programmer Inc ,Complete guide on deriving and implementing word2vec  GloVe  word embeddings  and sentiment analysis with recursive nets,4.6,6322,12.0,95,Expert
141,React,Brad Traversy,Learn Modern React 16 8Plus Including Hooks  Context API  Full Stack MERN and Redux By Building Real Life Projects,4.7,6328,14.0,91,All Levels
142,Shell Scripting Discover Automate Command Line Tasks,Jason Cannon,Learn shell programming for Linux  Unix  and Mac  Learn how to write shell scripts like a pro and solve real world problems ,4.4,6304,6.0,48,All Levels
143,Javascript Beginners Learn Practical Exercises,Edwin Diaz  Coding Faculty Solutions,JavaScript for Beginners   Work closely with me doing exercises and learn more  I make Javascript easy for you guaranteed ,4.5,6214,3.5,30,All Levels
144,Microservices Spring Cloud,Ken Krueger,A deep dive into the Microservice architectural style  and how to implement it with Spring technologies ,4.4,6181,4.5,30,Intermediate
145,Bash Scripting Shell Programming Linux Command Line,Jason Cannon,Learn bash programming for Linux  Unix  and Mac  Learn how to write bash scripts like a pro and solve real world problems ,4.5,6162,2.5,34,All Levels
146,Complete Java SE 8 Developer Bootcamp OCA Prep Included,Intertech Training  Jeff Jensen,Master the Foundations of Java and the Topics of the Oracle Certified Associate  Java SE 8 Programmer Exam  1Z0 808 ,4.5,6140,12.0,165,All Levels
147,Modern Javascript Bootcamp Course 2020,Colt Steele  Stephen Grider,The most up to date JS resource online  Master Javascript by building a beautiful portfolio of projects ,4.7,6144,52.0,483,All Levels
148,Complete Developers Guide MongoDB,Stephen Grider,Master MongoDB and Mongoose design with a test driven approach,4.5,6104,13.5,129,All Levels
149,Complete Machine Learning Data Science Bootcamp 2021,Andrei Neagoie  Daniel Bourke,Learn Data Science  Data Analysis  Machine Learning  Artificial Intelligence  and Python with Tensorflow  Pandas and more ,4.6,6103,43.0,372,All Levels
150,Master Software TestingPlusJiraPlusAgile Live App TeamLead,Rahul Shetty,2020 BEST job oriented Software Manual Testing course on real time ProjectPlusInterview quesPlusResume PrepPlus Lifetime Support,4.4,6034,10.5,76,All Levels
