,Title,Description,User_enrolled,Rating,User_vote,Link,Category,Level
17,Selenium WebDriver Java Basics AdvancedFrameworks,"""TOP RATED (BEST SELLER) #1 Master SELENIUM java course"" -5 Million students learning worldWide with great collaboration",148562.0,4.6,49947.0,https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/,Tech,All Levels
18,Unreal Engine C Developer Learn C Video Games,Created in collaboration with Epic Games. Learn C++ from basics while making your first 4 video games in Unreal,229005.0,4.5,45860.0,https://www.udemy.com/course/unrealcourse/,Tech,All Levels
19,Ultimate MySQL Bootcamp SQL Beginner Expert,Become an In-demand SQL Master by creating complex databases and building reports through real-world projects,203366.0,4.6,45382.0,https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,Tech,All Levels
20,Spring  Hibernate Beginners includes Spring Boot,"Spring 5: Learn Spring 5 Core, AOP, Spring MVC, Spring Security, Spring REST, Spring Boot 2, Thymeleaf, JPA & Hibernate",177053.0,4.6,45329.0,https://www.udemy.com/course/spring-hibernate-tutorial/,Tech,All Levels
21,Build Responsive Real World Websites HTML5 CSS3,"The easiest way to learn modern web design, HTML5 and CSS3 step-by-step from scratch. Design AND code a huge project.",197609.0,4.6,44710.0,https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,Tech,All Levels
22,Python Mega Course Build 10 Real World Applications,A complete Python course for both beginners and intermediates! Master Python 3 by making 10 amazing Python apps.,196701.0,4.5,42713.0,https://www.udemy.com/course/the-python-mega-course/,Tech,All Levels
23,Docker Mastery Kubernetes Swarm Docker Captain,"Build, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, Swarm and Registry using DevOps",190291.0,4.6,41383.0,https://www.udemy.com/course/docker-mastery/,Tech,All Levels
24,Vue  Complete Guide w Router Vuex Composition API,Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,138636.0,4.7,41054.0,https://www.udemy.com/course/vuejs-2-the-complete-guide/,Tech,All Levels
25,Complete Web Developer 2020 Zero Mastery,"Learn to code and become a Web Developer in 2020 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!",138822.0,4.7,40976.0,https://www.udemy.com/course/the-complete-web-developer-zero-to-mastery/,Tech,Intermediate
26,JavaScript Understanding Weird Parts,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",152004.0,4.7,39102.0,https://www.udemy.com/course/understand-javascript/,Tech,All Levels
27,PHP 101,PHP Coding for Beginners,514.0,4.7,12.0,https://www.udemy.com/course/introduction-to-php-101/,Tech,All Levels
28,C Basics Beginners Learn C Fundamentals Coding,"Master C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!",124918.0,4.5,38450.0,https://www.udemy.com/course/csharp-tutorial-for-beginners/,Tech,All Levels
29,R Programming AZ R Data Science Real Exercises,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",188765.0,4.6,35635.0,https://www.udemy.com/course/r-programming/,Tech,All Levels
30,Complete React Native  Hooks Course 2020 Edition,"Understand React Native v0.62.2 with Hooks, Context, and React Navigation.",130527.0,4.6,34178.0,https://www.udemy.com/course/the-complete-react-native-and-redux-course/,Tech,All Levels
31,Python Django Stack Web Developer Bootcamp,"Learn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!",130584.0,4.5,33670.0,https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/,Tech,All Levels
32,Deep Learning AZ HandsOn Artificial Neural Networks,Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.,278698.0,4.5,33454.0,https://www.udemy.com/course/deeplearning/,Tech,All Levels
33,Docker Kubernetes Complete Guide,"Build, test, and deploy Docker applications with Kubernetes while learning production-style development workflows",149882.0,4.7,31822.0,https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,Tech,All Levels
34,iOS 11  Swift 4  Complete iOS App Development Bootcamp,Learn iOS 11 App Development From Beginning to End. Using Xcode 9 and Swift 4. Includes Full ARKit and CoreML Modules!,116136.0,4.6,31265.0,https://www.udemy.com/course/ios11-app-development-bootcamp/,Tech,Intermediate
35,Python Bible  Need Program Python,Build 11 Projects and go from Beginner to Pro in Python with the World's Most Fun Project-Based Python Course!,103624.0,4.6,29516.0,https://www.udemy.com/course/the-python-bible/,Tech,Beginner
36,Beginning C Programming  Beginner,"Obtain Modern C++ Object-Oriented Programming (OOP) and STL skills needed for game, system, and application development.",108689.0,4.6,29286.0,https://www.udemy.com/course/beginning-c-plus-plus-programming/,Tech,All Levels
37,Data Science AZ RealLife Data Science Exercises Included,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",180119.0,4.6,27767.0,https://www.udemy.com/course/datascience/,Tech,Beginner
38,Flutter  Dart  Complete Guide 2020 Edition,A Complete Guide to the Flutter SDK & Flutter Framework for building native iOS and Android apps,99991.0,4.6,27084.0,https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/,Tech,All Levels
39,Complete Android N Developer Course,"Learn Android App Development with Android 7 Nougat by building real apps including Uber, Whatsapp and Instagram!",145069.0,4.4,26788.0,https://www.udemy.com/course/complete-android-n-developer-course/,Tech,All Levels
40,Ultimate AWS Certified Developer Associate 2020  NEW,Become an AWS Certified Developer! Learn all Amazon Web Services Developer topics. PASS the AWS Certified Developer Exam,141670.0,4.7,26619.0,https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/,Tech,Beginner
41,Complete ASPNET MVC 5 Course,"Learn to build fast and secure web applications with ASP.NET MVC 5 - The most popular course with 40,000+ students!",89513.0,4.3,25357.0,https://www.udemy.com/course/the-complete-aspnet-mvc-5-course/,Tech,Intermediate
42,Advanced CSS Sass Flexbox Grid Animations More,"The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",110725.0,4.8,25113.0,https://www.udemy.com/course/advanced-css-and-sass/,Tech,All Levels
43,Learn Understand NodeJS,"Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core Javascript concepts, and more.",103558.0,4.5,23906.0,https://www.udemy.com/course/understand-nodejs/,Tech,All Levels
44,Machine Learning Data Science Deep Learning Python,"Complete hands-on machine learning tutorial with data science, Tensorflow, artificial intelligence, and neural networks",134241.0,4.5,22596.0,https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,Tech,All Levels
45,Complete C Unity Game Developer 3D,"Design & Develop Video Games. Learn C# in Unity Engine. Code Your first 3D Unity games for web, Mac & PC.",121770.0,4.6,22357.0,https://www.udemy.com/course/unitycourse2/,Tech,All Levels
46,Complete 2020 Flutter Development Bootcamp Dart,Officially created in collaboration with the Google Flutter team.,73671.0,4.7,22319.0,https://www.udemy.com/course/flutter-bootcamp-with-dart/,Tech,All Levels
47,Complete Oracle SQL Certification Course,"Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",84052.0,4.5,22275.0,https://www.udemy.com/course/the-complete-oracle-sql-certification-course/,Tech,All Levels
48,Master Microservices Spring Boot Spring Cloud,"An awesome journey from Restful Web Services ( REST API ) to Microservices with Java, Spring Boot and Spring Cloud",93031.0,4.4,21591.0,https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/,Tech,All Levels
49,Complete Angular Course Beginner Advanced,"The most comprehensive Angular 4 (Angular 2+) course. Build a real e-commerce app with Angular, Firebase and Bootstrap 4",86101.0,4.4,21567.0,https://www.udemy.com/course/the-complete-angular-master-class/,Tech,All Levels
50,Modern JavaScript Beginning,Learn and build projects with pure JavaScript (No frameworks or libraries),69946.0,4.7,21314.0,https://www.udemy.com/course/modern-javascript-from-the-beginning/,Tech,All Levels
51,Scrum Certification Prep Scrum Master Agile Scrum Training,Overview of Scrum Agile project management+common questions+tips to pass PSM scrum org ONLINE Scrum Master Certification,175168.0,4.4,20624.0,https://www.udemy.com/course/scrum-certification/,Tech,All Levels
52,C Intermediate Classes Interfaces OOP,"An in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#",92574.0,4.6,20519.0,https://www.udemy.com/course/csharp-intermediate-classes-interfaces-and-oop/,Tech,All Levels
53,Modern Python 3 Bootcamp,A Unique Interactive Python Experience With Nearly 200 Exercises and Quizzes,75075.0,4.7,20169.0,https://www.udemy.com/course/the-modern-python3-bootcamp/,Tech,All Levels
54,Complete Python Developer 2020 Zero Mastery,"How to become a Python 3 Developer and get hired! Build 12+ projects, learn Web Development, Machine Learning + more",82801.0,4.7,20026.0,https://www.udemy.com/course/complete-python-developer-zero-to-mastery/,Tech,All Levels
55,NodeJS  Complete Guide MVC REST APIs GraphQL Deno,"Master Node JS & Deno.js, build REST APIs with Node.js, GraphQL APIs, add Authentication, use MongoDB, SQL & much more!",93673.0,4.7,19663.0,https://www.udemy.com/course/nodejs-the-complete-guide/,Tech,All Levels
56,Complete Python 3 Course Beginner Advanced,"Learn Python with projects covering game & web development, web scraping, MongoDB, Django, PyQt, and data visualization!",477630.0,4.2,19145.0,https://www.udemy.com/course/python-complete/,Tech,Intermediate
57,Learn Understand AngularJS,"Master AngularJS and the Javascript concepts behind it, design custom directives, and build a single page application.",85176.0,4.6,19072.0,https://www.udemy.com/course/learn-angularjs/,Tech,All Levels
58,Angular  NodeJS  MEAN Stack Guide 2020 Edition,Learn how to connect your Angular Frontend to a NodeJS & Express & MongoDB Backend by building a real Application,86680.0,4.6,17941.0,https://www.udemy.com/course/angular-2-and-nodejs-the-practical-guide/,Tech,All Levels
59,Apache Kafka Series  Learn Apache Kafka Beginners v2,"START HERE: Learn Apache Kafka 2.0 Ecosystem, Core Concepts, Real World Java Producers/Consumers & Big Data Architecture",79416.0,4.7,17910.0,https://www.udemy.com/course/apache-kafka/,Tech,Intermediate
60,Python AZ Python Data Science Real Exercises,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization",117830.0,4.6,17773.0,https://www.udemy.com/course/python-coding/,Tech,All Levels
61,Statistics Data Science Business Analysis,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",82001.0,4.5,17586.0,https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,Tech,Beginner
62,PHP Beginners  PHP Master  CMS Project,PHP for Beginners: learn everything you need to become a professional PHP developer with practical exercises & projects.,87458.0,4.4,17481.0,https://www.udemy.com/course/php-for-complete-beginners-includes-msql-object-oriented/,Tech,All Levels
63,Python Absolute Beginners,Python 101 - learn Python programming from scratch with hands-on exercises in this beginner friendly Python tutorial!,153580.0,4.4,17478.0,https://www.udemy.com/course/python-for-absolute-beginners-u/,Tech,All Levels
64,Complete React Developer Course w Hooks Redux,"Learn how to build and launch React web applications using React, Redux, Webpack, React-Router, and more!",61460.0,4.7,17223.0,https://www.udemy.com/course/react-2nd-edition/,Tech,All Levels
65,React Native  Practical Guide 2020 Edition,"Use React Native and your React knowledge to build native iOS and Android Apps - incl. Push Notifications, Hooks, Redux",92876.0,4.6,16958.0,https://www.udemy.com/course/react-native-the-practical-guide/,Tech,All Levels
66,Understanding TypeScript  2020 Edition,"Don't limit the Usage of TypeScript to Angular! Learn the Basics, its Features, Workflows and how to use it!",76396.0,4.7,16478.0,https://www.udemy.com/course/understanding-typescript/,Tech,All Levels
67,Artificial Intelligence AZ Learn Build AI,"Combine the power of Data Science, Machine Learning and Deep Learning to create powerful AI for Real-World applications!",139477.0,4.3,16348.0,https://www.udemy.com/course/artificial-intelligence-az/,Tech,All Levels
68,Python beginners,Master the fundamentals of Python while working on various usecases in easy steps,209331.0,4.4,16229.0,https://www.udemy.com/course/python-core-and-advanced/,Tech,All Levels
69,Angular Crash Course Busy Developers,Have limited time to learn Angular 4 (Angular 2+)? Take this course and learn Angular in 10 hours!,63018.0,4.5,15562.0,https://www.udemy.com/course/angular-crash-course/,Tech,All Levels
70,Complete Guide TensorFlow Deep Learning Python,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques!,82159.0,4.4,15121.0,https://www.udemy.com/course/complete-guide-to-tensorflow-for-deep-learning-with-python/,Tech,All Levels
71,Learn Code Googles golang Programming Language,The Ultimate Comprehensive Course - Perfect for Both Beginners and Experienced Developers,102840.0,4.5,15065.0,https://www.udemy.com/course/learn-how-to-code/,Tech,All Levels
72,Learning Python Data Analysis Visualization,"Learn python and how to use it to analyze,visualize and present data. Includes tons of sample code and hours of video!",158406.0,4.3,14976.0,https://www.udemy.com/course/learning-python-for-data-analysis-and-visualization/,Tech,All Levels
73,C Programming Beginners  Master C Language,C Programming will increase career options. Become a better dev in other languages by learning C. Pointers explained,61802.0,4.4,14894.0,https://www.udemy.com/course/c-programming-for-beginners-/,Tech,All Levels
74,Go Complete Developers Guide Golang,Master the fundamentals and advanced features of the Go Programming Language (Golang),52504.0,4.6,14660.0,https://www.udemy.com/course/go-the-complete-developers-guide/,Tech,Beginner
75,Learn HTML5 Programming Scratch,A Complete HTML5 Programming Course for Beginners,317729.0,4.3,14132.0,https://www.udemy.com/course/learn-html5-programming-from-scratch/,Tech,All Levels
76,Git Complete definitive stepbystep guide Git,Go from zero to hero with Git source control step-by-step with easy to understand examples. Become the next Git expert!,70066.0,4.4,13628.0,https://www.udemy.com/course/git-complete/,Tech,All Levels
77,iOS 10  Swift 3 Beginner Paid Professional,The most comprehensive course on iOS development - become a master of app development,89953.0,4.2,13619.0,https://www.udemy.com/course/devslopes-ios10/,Tech,All Levels
78,Selenium WebDriver Training Java Live Projects,"#1 TOP RATED, BEST SELLER Course on SELENIUM, Trusted by 3,00,000+ students with Many Live Projects & Frameworks",133160.0,4.5,13593.0,https://www.udemy.com/course/selenium-training/,Tech,Beginner
79,Modern HTML  CSS Beginning Including Sass,"Build modern responsive websites & UIs with HTML5, CSS3 & Sass! Learn Flex & CSS Grid",40092.0,4.7,13542.0,https://www.udemy.com/course/modern-html-css-from-the-beginning/,Tech,All Levels
80,Python Financial Analysis Algorithmic Trading,"Learn numpy , pandas , matplotlib , quantopian , finance , and more for algorithmic trading with Python!",89731.0,4.6,13530.0,https://www.udemy.com/course/python-for-finance-and-trading-algorithms/,Tech,Beginner
81,C Advanced Topics Prepare Technical Interviews,"Master the confusing C# constructs: Events, Delegates, Lambda Expressions, LINQ, Async/Await and more!",77681.0,4.6,13471.0,https://www.udemy.com/course/csharp-advanced/,Tech,All Levels
82,Complete Android Oreo Developer Course  Build 23 Apps,"Learn Android O App Development using Java & Kotlin - build real apps including Super Mario Run, Whatsapp and Instagram!",64049.0,4.5,13426.0,https://www.udemy.com/course/the-complete-android-oreo-developer-course/,Tech,Beginner
83,Learn JIRA realworld examples Confluence bonus,"Learn to work on, manage & administer agile projects with this comprehensive course on JIRA Software & Confluence",57721.0,4.6,13250.0,https://www.udemy.com/course/the-complete-guide-to-jira-with-real-world-examples/,Tech,Intermediate
84,Ultimate Excel Programmer Course,"Learn Excel VBA from Scratch with Dan Strong, Bestselling Excel Expert with Over 180K Students Worldwide!",100001.0,4.4,13193.0,https://www.udemy.com/course/ultimate-excel-programmer/,Tech,All Levels
85,Ultimate Guide Game Development Unity 2019,Created in partnership with Unity Technologies: learn C# by developing 2D & 3D games with this comprehensive guide,60938.0,4.5,13063.0,https://www.udemy.com/course/the-ultimate-guide-to-game-development-with-unity/,Tech,All Levels
86,Web Design Beginners Real World Coding HTML  CSS,"Launch a career as a web designer by learning HTML5, CSS3, responsive design, Sass and more!",47076.0,4.6,12857.0,https://www.udemy.com/course/web-design-for-beginners-real-world-coding-in-html-css/,Tech,Beginner
87,Ionic  Build iOS Android  Web Apps Ionic  Angular,"Build Native iOS & Android as well as Progressive Web Apps with Angular, Capacitor and the Ionic Framework (Ionic 4+).",53963.0,4.7,12756.0,https://www.udemy.com/course/ionic-2-the-practical-guide-to-building-ios-android-apps/,Tech,Intermediate
88,Complete WordPress Website Business Course,"Master WordPress with this Complete WordPress Course, without learning how to code and without any programming!",65660.0,4.4,12614.0,https://www.udemy.com/course/the-complete-wordpress-website-business-course/,Tech,Beginner
89,Bootstrap 4 Scratch 5 Projects,Master Bootstrap 4 and build 5 real world themes while learning HTML5 semantics & CSS3,51940.0,4.7,12586.0,https://www.udemy.com/course/bootstrap-4-from-scratch-with-5-projects/,Tech,All Levels
90,Spark Python Big Data PySpark,"Learn how to use Spark with Python, including Spark Streaming, Machine Learning, Spark 2.0 DataFrames and more!",61007.0,4.5,12410.0,https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/,Tech,All Levels
91,Spring Framework 5 Beginner Guru,"Spring Framework 5: Learn Spring Framework 5, Spring Boot 2, Spring MVC, Spring Data JPA, Spring Data MongoDB, Hibernate",58176.0,4.5,12361.0,https://www.udemy.com/course/spring-framework-5-beginner-to-guru/,Tech,All Levels
92,Build app ASPNET Core Angular scratch,A practical example of how to build an application with ASP.NET Core API (.Net 5.0) and Angular 10 from start to finish,51496.0,4.6,12276.0,https://www.udemy.com/course/build-an-app-with-aspnet-core-and-angular-from-scratch/,Tech,Intermediate
93,Rest API Testing Automation Scratch RestAssured Java,"""Top Ranked #1 Rest API Test Automation & POSTMAN course from Basics to Framework with tons of Real time examples",49478.0,4.6,12111.0,https://www.udemy.com/course/rest-api-automation-testing-rest-assured/,Tech,Beginner
94,Node React Fullstack Web Development,"Build and deploy fullstack web apps with NodeJS, React, Redux, Express, and MongoDB.",65708.0,4.6,12054.0,https://www.udemy.com/course/node-with-react-fullstack-web-development/,Tech,Beginner
95,WordPress Developer Unlocking Power Code,"Learn PHP, JavaScript, WordPress theming & the WP REST API to Create Custom & Interactive WordPress Websites",49191.0,4.7,11940.0,https://www.udemy.com/course/become-a-wordpress-developer-php-javascript/,Tech,Intermediate
96,Data Science Machine Learning Bootcamp R,Learn how to use the R programming language for data science and machine learning and data visualization!,61305.0,4.6,11860.0,https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-r/,Tech,All Levels
97,Apache Spark Scala  Hands Big Data,"Dive right in with 20+ hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop!",60808.0,4.5,11814.0,https://www.udemy.com/course/apache-spark-with-scala-hands-on-with-big-data/,Tech,Beginner
98,Ultimate Web Designer  Developer Course Build 23 Projects,Become a Full-Stack Developer - Learn Everything from Design to Front & Back-End Programming.,65822.0,4.4,11457.0,https://www.udemy.com/course/web-developer-course/,Tech,All Levels
99,Java Programming Complete Beginners,Learn Java Programming with 200+ examples. For Java Beginners! Learn Java Object Oriented Programming Now!,83014.0,4.4,11254.0,https://www.udemy.com/course/java-programming-tutorial-for-beginners/,Tech,Beginner
100,REST APIs Flask Python,"Build professional REST APIs with Python, Flask, Flask-RESTful, and Flask-SQLAlchemy",61342.0,4.6,11110.0,https://www.udemy.com/course/rest-api-flask-and-python/,Tech,Beginner
101,Complete Ruby Rails Developer Course,Learn to make innovative web apps with Ruby on Rails and unleash your creativity,70663.0,4.6,11050.0,https://www.udemy.com/course/the-complete-ruby-on-rails-developer-course/,Tech,Intermediate
102,MERN Stack Back Stack React Redux  Nodejs,"Build and deploy a social network with Node.js, Express, React, Redux & MongoDB. Fully updated April 2019",41430.0,4.7,11011.0,https://www.udemy.com/course/mern-stack-front-to-back/,Tech,All Levels
103,Data Analysis Pandas Python,Analyze data quickly and easily with Python's powerful pandas library! All datasets included --- beginners welcome!,136428.0,4.7,10979.0,https://www.udemy.com/course/data-analysis-with-pandas/,Tech,All Levels
104,Complete Python Course  Learn Python,Go from Beginner to Expert in Python by building projects. The best investment for your Python journey!,41324.0,4.6,10965.0,https://www.udemy.com/course/the-complete-python-course/,Tech,All Levels
105,Learn Python  Ethical Hacking Scratch,Start from 0 & learn both topics simultaneously from scratch by writing 20+ hacking programs,60851.0,4.6,10929.0,https://www.udemy.com/course/learn-python-and-ethical-hacking-from-scratch/,Tech,Beginner
106,Docker Crash Course busy DevOps Developers,Learn how to develop and deploy web applications with Docker technologies. Take your DevOps skills to the next level.,48785.0,4.4,10817.0,https://www.udemy.com/course/docker-tutorial-for-devops-run-docker-containers/,Tech,Intermediate
107,Ethereum Solidity Complete Developers Guide,"Use Ethereum, Solidity, and Smart Contracts to build production-ready apps based on the blockchain",47427.0,4.6,10815.0,https://www.udemy.com/course/ethereum-and-solidity-the-complete-developers-guide/,Tech,All Levels
108,Complete iOS 10  Swift 3 Developer Course,"Learn iOS App Development by building 21 iOS apps using Swift 3 & Xcode 8. Includes free web hosting, assets & ebook.",62450.0,4.5,10757.0,https://www.udemy.com/course/complete-ios-10-developer-course/,Tech,Intermediate
109,Coding Interview Bootcamp Algorithms  Data Structures,Ace your next Javascript coding interview by mastering data structures and algorithms.,65279.0,4.7,10708.0,https://www.udemy.com/course/coding-interview-bootcamp-algorithms-and-data-structure/,Tech,All Levels
110,1 Foundation Enterprise Architect Certification Trng,"Software architecture certification with TOGAF® 9 Part 1 exam, to become TOGAF Foundation.",53582.0,4.4,10706.0,https://www.udemy.com/course/togaf-enterprise-architect/,Tech,Intermediate
111,Complete Guide Elasticsearch,"Learn Elasticsearch from scratch and begin learning the ELK stack (Elasticsearch, Logstash & Kibana) and Elastic Stack.",52904.0,4.5,10644.0,https://www.udemy.com/course/elasticsearch-complete-guide/,Tech,Beginner
112,Java InDepth Complete Java Engineer,"Comprehensive Java programming course integrated with design principles, best practices & instructor-led Java EE project",50888.0,4.4,10556.0,https://www.udemy.com/course/java-in-depth-become-a-complete-java-engineer/,Tech,Beginner
113,Alteryx Bootcamp,From couch to Alteryx developer in less than four hours.,27557.0,4.5,10500.0,https://www.udemy.com/course/alteryx-bootcamp/,Tech,All Levels
114,Python Beginners Learn Python Programming Python 3,"Learn Python Programming the Easy Way, Complete with Examples, Quizzes, Exercises and more. Learn Python 2 and Python 3.",42637.0,4.4,10493.0,https://www.udemy.com/course/python-programming-projects/,Tech,Beginner
115,JavaScript Algorithms Data Structures Masterclass,The Missing Computer Science and Coding Interview Bootcamp,57444.0,4.7,10451.0,https://www.udemy.com/course/js-algorithms-and-data-structures-masterclass/,Tech,All Levels
116,WebServicesRest API Testing SoapUI Real time Projects,"""Most Popular #1 SoapUI Test automation Course - ""36000+ students learning together with great collaboration""",47335.0,4.5,10248.0,https://www.udemy.com/course/webservices-testing-with-soap-ui/,Tech,All Levels
117,Programming Python  HandsOn Introduction Beginners,Eliminate roadblocks to learn programming: Start writing your own programs in Python 3 from scratch,148891.0,4.3,10099.0,https://www.udemy.com/course/python-programming-beginners/,Tech,All Levels
118,Complete React Developer 2020 w Redux Hooks GraphQL,"Become a Senior React Developer! Build a massive E-commerce app with Redux, Hooks, GraphQL, ContextAPI, Stripe, Firebase",49159.0,4.6,10028.0,https://www.udemy.com/course/complete-react-developer-zero-to-mastery/,Tech,Intermediate
119,JavaScript  Complete Guide 2020 Beginner  Advanced,Modern JavaScript from the beginning - all the way up to JS expert level! THE must-have JavaScript resource in 2020.,52610.0,4.6,9984.0,https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/,Tech,All Levels
120,Master Coding Interview Data Structures  Algorithms,"Ultimate coding interview bootcamp. Get more job offers, negotiate a raise: Everything you need to get the job you want!",59764.0,4.6,9807.0,https://www.udemy.com/course/master-the-coding-interview-data-structures-algorithms/,Tech,Beginner
121,MongoDB  Complete Developers Guide 2020,"Master MongoDB Development for Web & Mobile Apps. CRUD Operations, Indexes, Aggregation Framework - All about MongoDB!",64121.0,4.7,9722.0,https://www.udemy.com/course/mongodb-the-complete-developers-guide/,Tech,All Levels
122,Modern JavaScript Bootcamp,"Learn JavaScript by building real-world apps. Includes 3 real-world projects, 80 programming challenges, and ES6/ES7!",38352.0,4.8,9669.0,https://www.udemy.com/course/modern-javascript/,Tech,All Levels
